cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rad_s,body_vx_m_s,body_vy_m_s,yaw_rate_rad_s,elapsed_s,reward,terminated,command_planar_speed_m_s,body_planar_speed_m_s,vx_error_m_s,vy_error_m_s,planar_error_m_s,yaw_error_rad_s,projected_speed_m_s,off_axis_speed_m_s,planar_sign_ok,yaw_sign_ok,mean_gait_blend,std_gait_blend,final_gait_blend,mean_learned_gait_blend,std_learned_gait_blend,final_learned_gait_blend,mean_raw_gait_gate_action,std_raw_gait_gate_action,final_raw_gait_gate_action,mean_prior_component_l2,std_prior_component_l2,final_prior_component_l2,mean_residual_component_l2,std_residual_component_l2,final_residual_component_l2,mean_applied_action_l2,std_applied_action_l2,final_applied_action_l2,mean_desired_gait_blend,std_desired_gait_blend,final_desired_gait_blend,mean_gait_gate_error,std_gait_gate_error,final_gait_gate_error,mean_reward_component_tracking_cost,std_reward_component_tracking_cost,final_reward_component_tracking_cost,mean_reward_planar_component_deficit_penalty,std_reward_planar_component_deficit_penalty,final_reward_planar_component_deficit_penalty,mean_reward_axial_prior_preserve_penalty,std_reward_axial_prior_preserve_penalty,final_reward_axial_prior_preserve_penalty,mean_axial_prior_residual_cancellation,std_axial_prior_residual_cancellation,final_axial_prior_residual_cancellation,mean_axial_slide_activity_deficit,std_axial_slide_activity_deficit,final_axial_slide_activity_deficit
-0.25,-0.15,0.0,-0.06988439496969957,0.035369902131789754,0.005713102413659928,6.0,-12151.819608076894,False,0.291547594742265,0.07832533841033408,0.18011560503030044,0.18536990213178975,0.25846398548304655,0.005713102413659928,0.04172770978752585,0.06628466544368597,True,True,0.4958539884,0.0396295344,0.5161736416,0.4940771263,0.0566136206,0.5231052022,-0.0039485825,0.0377424137,0.0154034682,0.8381585592,0.0338476428,0.8482167125,0.0439097712,0.0080033032,0.0346258357,0.8354612877,0.0392504313,0.8456564546,0.5,0.0,0.5,0.0316813438,0.0241657167,0.0161736416,7.4596273926,2.5164184137,9.0,1.9469353276,1.1635210103,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,-0.075,0.0,-0.07630328532805483,0.019574553265934172,-0.020683677703003278,6.0,-12750.82548455412,False,0.26100766272276377,0.07877407243132376,0.17369671467194517,0.09457455326593417,0.1977748589009183,0.020683677703003278,0.06746058584406836,0.04067460934035538,True,True,0.4963953374,0.0404569464,0.5022380592,0.4948504819,0.0577956377,0.5031972274,-0.003433012,0.0385304251,0.0021314849,0.8370783013,0.0331798482,0.868819356,0.0396643757,0.009866124,0.0338206179,0.8327426875,0.0367308103,0.8617936969,0.5,0.0,0.5,0.0325215552,0.0243332396,0.0022380592,7.4442068127,2.5632483799,9.0,1.7885988281,1.1475282438,2.4333479051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.0,0.0,-0.07667260194273594,0.014724730248448422,-0.01697613361673674,6.0,-12230.557876938303,False,0.25,0.07807371881471259,0.17332739805726405,0.014724730248448422,0.17395173065592315,0.01697613361673674,0.07667260194273594,0.014724730248448422,True,True,0.4966975539,0.0407968487,0.5036954077,0.4952822199,0.0582812124,0.5052791538,-0.0031451867,0.0388541416,0.0035194359,0.8361071535,0.0346014425,0.8666602969,0.0422175973,0.0111552018,0.0327312388,0.83107707,0.0362493787,0.8569383025,0.5,0.0,0.5,0.033655246,0.0232940643,0.0036954077,7.1051454985,2.8368647728,9.0,0.7726078253,0.4808908364,0.6502851643,0.0102634735,0.0063074545,0.0144864656,0.0102634735,0.0063074545,0.0144864656,0.0,0.0,0.0
-0.25,0.075,0.0,-0.07822514755810604,-0.009552377931002045,-0.03724605079063403,6.0,-12259.586009656838,False,0.26100766272276377,0.07880622839994411,0.17177485244189394,-0.08455237793100204,0.191456795505465,0.03724605079063403,0.07218124689585306,0.031627349417617336,True,True,0.4968213313,0.0377343975,0.5022378841,0.4954590448,0.0539062821,0.5031969773,-0.0030273035,0.0359375214,0.0021313182,0.8391390814,0.0332113678,0.8688195944,0.048828789,0.0100010961,0.0434343815,0.8337976718,0.0329781046,0.8607695103,0.5,0.0,0.5,0.0309672413,0.0217949226,0.0022378841,7.2066677058,2.7101376549,9.0,1.65232694,0.9568535383,0.5890861082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,0.15,0.0,-0.07852350899063765,0.02946641869723553,-0.011627973450474652,6.0,-12256.771886624161,False,0.291547594742265,0.08387020504949026,0.17147649100936235,-0.12053358130276447,0.20960088547177957,0.011627973450474652,0.08249370080897514,0.015132766497994976,True,True,0.4970503162,0.0347513486,0.4994229298,0.495786166,0.0496447837,0.499175614,-0.0028092227,0.0330965225,-0.0005495907,0.8420430521,0.0321113327,0.8713315129,0.0610383332,0.0101600125,0.0579877235,0.8361823223,0.0299115862,0.8592863083,0.5,0.0,0.5,0.0283126237,0.0203654659,0.0005770702,7.3949327317,2.5339726889,9.0,1.8261980306,0.892709918,0.7901555707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.15,0.0,0.04720893631916543,-0.14237045631503328,-0.1511558253193972,6.0,-17070.601568708837,False,0.19525624189766635,0.14999343485545563,0.17220893631916542,0.007629543684966711,0.1723778630944797,0.1511558253193972,0.07914958957091359,0.12741025457353794,True,False,0.0066653093,0.0183884514,0.0,0.443158675,0.0665937344,0.4145963192,-0.0378942167,0.0443958229,-0.0569357872,1.6932013059,0.2317866677,1.7491738796,0.0496309039,0.0128041581,0.0586166978,1.6942510339,0.2351014517,1.7469650507,0.0,0.0,0.0,0.0066653093,0.0183884514,0.0,8.9760586918,0.2920071789,9.0,2.0956889571,1.1689454036,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,-0.075,0.0,-0.03493410918872284,0.039223157093866416,0.02940685577053359,6.0,-9722.206729968877,False,0.1457737973711325,0.05252473738363413,0.09006589081127717,0.1142231570938664,0.14546062802050247,0.02940685577053359,0.009775603656138077,0.051607030629341896,True,True,0.5062547695,0.0317894622,0.5038580971,0.508935385,0.0454135174,0.5055115672,0.0059569233,0.0302756783,0.0036743782,0.5026656517,0.022000468,0.5198515654,0.0208839574,0.0035258773,0.0194389317,0.5015521532,0.023757986,0.5174199343,0.5,0.0,0.5,0.0266949771,0.0183594729,0.0038580971,5.7435335358,3.5392463481,7.6897837699,1.4260799993,1.202725351,2.2601044365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.0,0.0,-0.033288741980239143,0.015953171702413036,0.011252199433209173,6.0,-8394.084675959,False,0.125,0.036914008587440185,0.09171125801976085,0.015953171702413036,0.09308844469070165,0.011252199433209173,0.033288741980239143,0.015953171702413036,True,True,0.43394314,0.0286582883,0.423948511,0.5127759142,0.0409404118,0.4984978728,0.0085172762,0.0272936079,-0.0010014181,0.4947004157,0.0240108207,0.459934473,0.02292362,0.0038850979,0.0186544135,0.4923779829,0.0250221138,0.4551502168,0.425,0.0,0.425,0.0239476311,0.0181049221,0.001051489,5.1465450336,3.6566535549,5.6234622655,0.4016065565,0.2504836387,0.448210631,0.0068410143,0.0055385513,0.0148588515,0.0068410143,0.0055385513,0.0148588515,0.0,0.0,0.0
-0.125,0.075,0.0,-0.03781485093772446,0.03616012567284227,0.029694410208113958,6.0,-9785.540224082175,False,0.1457737973711325,0.052321292416358245,0.08718514906227554,-0.03883987432715773,0.09544519922322238,0.029694410208113958,0.05103019834037638,0.011551471657754941,True,True,0.5097919407,0.0293919644,0.5068328951,0.5139884868,0.0419885206,0.5097612788,0.0093256578,0.0279923471,0.0065075192,0.5029959998,0.0218487715,0.5172093511,0.0304510805,0.0044984599,0.0253112148,0.5000783666,0.0195041278,0.513017416,0.5,0.0,0.5,0.0246523051,0.0187625566,0.0068328951,5.6694095613,3.5202811725,6.0502884256,1.3134838533,0.935700181,0.5960217763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.125,0.15,0.0,-0.02329083119267643,0.07370523678786688,0.11535815600800421,6.0,-11205.134699831944,False,0.19525624189766635,0.07729763739986671,0.10170916880732357,-0.07629476321213312,0.12714419339109476,0.11535815600800421,0.07153235810297297,0.02929243062344453,True,False,0.0131016574,0.0267551384,0.0096628214,0.4776297517,0.068793265,0.5138040306,-0.0149134989,0.0458621767,0.0092026871,0.921458112,0.1161030183,0.8790714741,0.0559495867,0.0049873297,0.0567333773,0.9190172694,0.1027399039,0.8663539886,0.0,0.0,0.0,0.0131016574,0.0267551384,0.0096628214,7.0180901641,2.8375805793,9.0,1.6678245027,0.8675401767,1.4907521895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
